track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885.0,19,143,10.0,6,15.0,138,78,89,83,10,12,5
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613.0,98,95,453.0,6,454.0,96,86,74,80,33,8,6
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350.0,433,107,0.0,6,26.0,104,77,36,63,1,36,5
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989.0,24,101,113.0,6,40.0,164,45,24,62,8,16,3
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784.0,197,115,112.0,6,200.0,118,68,61,82,2,50,3
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471.0,137,125,435.0,6,285.0,81,68,51,60,3,19,10
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737.0,211,74,929.0,6,129.0,117,82,73,45,54,7,3
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830.0,70,82,939.0,1,162.0,174,45,10,37,97,64,4
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533.0,321,91,0.0,1,58.0,128,73,60,77,3,11,4
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319.0,321,91,806.0,1,58.0,145,60,43,27,94,14,4
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173.0,321,91,885.0,1,58.0,150,65,51,55,73,14,3
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466.0,17,60,28.0,1,44.0,90,60,13,53,4,21,4
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445.0,133,92,0.0,1,26.0,85,55,42,53,17,22,3
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617.0,65,82,0.0,4,13.0,180,33,38,71,20,28,5
Idol,YOASOBI,1,2023,4,12,356,16,143573775.0,35,102,8.0,1,117.0,166,57,84,94,11,37,9
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814.0,45,85,238.0,1,47.0,160,71,40,50,16,16,22
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873.0,328,70,0.0,9,20.0,160,65,95,80,5,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350.0,54,70,0.0,2,1.0,92,70,81,63,4,8,4
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468.0,148,80,226.0,24,1.0,170,56,53,64,11,45,6
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890.0,33,80,0.0,7,1.0,96,83,93,65,58,9,8
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940.0,60,20,2.0,7,1.0,120,67,40,52,86,12,4
